stage,method,weight_boundary,threshold,sensitivity,specificity,mcc,w12,w23,w34,qwk,macro_f1
stage1,weighted,0.0,0.1,0.9891732283464567,0.2624113475177305,0.4193875721475466,,,,,
stage1,weighted,0.0,0.15000000000000002,0.9822834645669292,0.375886524822695,0.5024764488844641,,,,,
stage1,weighted,0.0,0.20000000000000004,0.9744094488188977,0.49645390070921985,0.5814187570713859,,,,,
stage1,weighted,0.0,0.25000000000000006,0.9606299212598425,0.5957446808510638,0.625451715990414,,,,,
stage1,weighted,0.0,0.30000000000000004,0.9478346456692913,0.6773049645390071,0.6598317468239507,,,,,
stage1,weighted,0.0,0.3500000000000001,0.9350393700787402,0.7695035460992907,0.7036434055881614,,,,,
stage1,weighted,0.0,0.40000000000000013,0.922244094488189,0.8404255319148937,0.7328390005108815,,,,,
stage1,weighted,0.0,0.45000000000000007,0.9124015748031497,0.8865248226950354,0.7500134064628081,,,,,
stage1,weighted,0.0,0.5000000000000001,0.8976377952755905,0.9078014184397163,0.741910484488766,,,,,
stage1,weighted,0.0,0.5500000000000002,0.8848425196850394,0.9219858156028369,0.7329123837715594,,,,,
stage1,weighted,0.0,0.6000000000000002,0.8740157480314961,0.9290780141843972,0.7223745435094164,,,,,
stage1,weighted,0.0,0.6500000000000001,0.8612204724409449,0.9468085106382979,0.7177501004830534,,,,,
stage1,weighted,0.0,0.7000000000000002,0.8494094488188977,0.9716312056737588,0.7206311901681548,,,,,
stage1,weighted,0.0,0.7500000000000002,0.8248031496062992,0.9893617021276596,0.7029552191661879,,,,,
stage1,weighted,0.0,0.8000000000000002,0.8080708661417323,0.9893617021276596,0.6829872562644543,,,,,
stage1,weighted,0.0,0.8500000000000002,0.7765748031496063,1.0,0.6559297222768508,,,,,
stage1,weighted,0.0,0.9000000000000002,0.7312992125984252,1.0,0.6095728499320938,,,,,
stage1,weighted,0.05,0.1,0.9911417322834646,0.26595744680851063,0.4309462557192468,,,,,
stage1,weighted,0.05,0.15000000000000002,0.9822834645669292,0.375886524822695,0.5024764488844641,,,,,
stage1,weighted,0.05,0.20000000000000004,0.9744094488188977,0.5,0.5842990771606693,,,,,
stage1,weighted,0.05,0.25000000000000006,0.9596456692913385,0.5957446808510638,0.6231357312311632,,,,,
stage1,weighted,0.05,0.30000000000000004,0.9438976377952756,0.6879432624113475,0.6597341143542084,,,,,
stage1,weighted,0.05,0.3500000000000001,0.9340551181102362,0.7836879432624113,0.7123336821371534,,,,,
stage1,weighted,0.05,0.40000000000000013,0.9232283464566929,0.8581560283687943,0.7476385974009889,,,,,
stage1,weighted,0.05,0.45000000000000007,0.9084645669291339,0.8865248226950354,0.7435051732875041,,,,,
stage1,weighted,0.05,0.5000000000000001,0.8966535433070866,0.9078014184397163,0.7403715917716502,,,,,
stage1,weighted,0.05,0.5500000000000002,0.8828740157480315,0.9184397163120568,0.7273344860458091,,,,,
stage1,weighted,0.05,0.6000000000000002,0.8700787401574803,0.9361702127659575,0.7220873054723523,,,,,
stage1,weighted,0.05,0.6500000000000001,0.8622047244094488,0.9645390070921985,0.7324480883971772,,,,,
stage1,weighted,0.05,0.7000000000000002,0.844488188976378,0.9787234042553191,0.7195834231681506,,,,,
stage1,weighted,0.05,0.7500000000000002,0.8208661417322834,0.9893617021276596,0.69817674680305,,,,,
stage1,weighted,0.05,0.8000000000000002,0.8001968503937008,0.9964539007092199,0.6793670742305858,,,,,
stage1,weighted,0.05,0.8500000000000002,0.7667322834645669,1.0,0.6454502154394289,,,,,
stage1,weighted,0.05,0.9000000000000002,0.719488188976378,1.0,0.5981978657441399,,,,,
stage1,weighted,0.1,0.1,0.9921259842519685,0.2624113475177305,0.43146858624800527,,,,,
